City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ciudad altamirano,18.3167,-100.65,23.69,80,27,0.89,MX,1728695103
1,adamstown,-25.066,-130.1015,21.48,85,49,4.63,PN,1728695104
2,barcelos,41.5388,-8.6151,16.99,95,67,4.5,PT,1728695106
3,nurota,40.5614,65.6886,11.2,54,99,0.88,UZ,1728695107
4,constantia,44.1833,28.65,19.38,84,100,7.31,RO,1728694837
5,blackmans bay,-43.0167,147.3167,15.85,50,10,0.89,AU,1728695109
6,kodiak,57.79,-152.4072,6.73,76,100,3.09,US,1728695110
7,margaret river,-33.95,115.0667,16.48,63,26,5.69,AU,1728695111
8,glace bay,46.1969,-59.957,9.94,88,75,8.75,CA,1728695113
9,port-aux-francais,-49.35,70.2167,0.55,70,10,17.98,TF,1728695068
10,cockburn town,21.4612,-71.1419,29.57,75,8,3.69,TC,1728695115
11,guerrero negro,27.9769,-114.0611,22.18,74,1,5.4,MX,1728695116
12,yamada,39.4667,141.95,18.48,58,0,1.36,JP,1728695117
13,bethel,41.3712,-73.414,14.1,63,0,2.57,US,1728695119
14,ust-nera,64.5667,143.2,-4.86,88,50,2.1,RU,1728695120
15,grytviken,-54.2811,-36.5092,-0.07,88,15,4.47,GS,1728695121
16,pokhvistnevo,53.6524,52.1274,-1.73,69,3,4.54,RU,1728695071
17,dryden,49.7833,-92.7503,9.16,71,20,2.57,CA,1728694919
18,yellowknife,62.456,-114.3525,3.56,100,75,2.57,CA,1728695125
19,olonkinbyen,70.9221,-8.7187,-1.95,91,100,15.81,SJ,1728695126
20,albany,42.6001,-73.9662,12.12,74,22,0.89,US,1728695108
21,waitangi,-43.9535,-176.5597,11.01,96,100,5.81,NZ,1728695128
22,wafangdian,39.6183,122.0081,18.38,48,0,1.9,CN,1728695129
23,nyala,12.05,24.8833,25.86,57,85,1.3,SD,1728695131
24,invercargill,-46.4,168.35,8.78,92,98,1.5,NZ,1728695132
25,belmonte,-15.8631,-38.8828,24.86,82,81,5.06,BR,1728695133
26,petropavlovsk-kamchatsky,53.0452,158.6483,7.33,49,75,12.0,RU,1728695135
27,puerto ayora,-0.7393,-90.3518,20.86,86,100,2.24,EC,1728695136
28,taroudant,30.4703,-8.877,21.1,84,97,0.52,MA,1728695137
29,port blair,11.6667,92.75,29.02,79,40,1.03,IN,1728695138
30,shankargarh,25.1833,81.6167,26.25,54,100,1.41,IN,1728695139
31,brookings,44.3114,-96.7984,12.25,62,0,1.54,US,1728695122
32,luderitz,-26.6481,15.1594,15.22,74,0,5.67,NA,1728695142
33,constitucion,-35.3333,-72.4167,11.19,92,65,4.04,CL,1728695143
34,phan rang-thap cham,11.5667,108.9833,28.55,72,94,1.69,VN,1728695144
35,talnakh,69.4865,88.3972,-9.08,97,100,0.85,RU,1728695075
36,edinburgh of the seven seas,-37.0676,-12.3116,10.59,61,99,11.54,SH,1728695147
37,papatowai,-46.5619,169.4708,13.91,51,100,2.0,NZ,1728695148
38,new norfolk,-42.7826,147.0587,16.51,31,69,1.79,AU,1728695151
39,lebu,-37.6167,-73.65,8.43,81,1,3.77,CL,1728694877
40,kavieng,-2.5744,150.7967,30.02,63,2,5.98,PG,1728695153
41,bac lieu,9.285,105.7244,27.48,85,97,4.16,VN,1728695154
42,iqaluit,63.7506,-68.5145,1.85,93,40,4.63,CA,1728694919
43,tay ninh,11.3,106.1,27.97,79,23,0.91,VN,1728695156
44,al jawf,29.5,38.75,21.79,29,0,3.29,SA,1728694935
45,isafjordur,66.0755,-23.124,-3.0,79,35,4.25,IS,1728695159
46,greymouth,-42.4667,171.2,10.93,88,100,1.85,NZ,1728695160
47,wailua homesteads,22.0669,-159.378,28.44,81,75,4.63,US,1728695161
48,viedma,-40.8135,-62.9967,8.62,25,8,2.52,AR,1728695123
49,kanniyakumari,8.0833,77.5667,24.86,90,100,9.68,IN,1728695163
50,pokaran,26.9167,71.9167,26.39,45,0,3.87,IN,1728695164
51,gadzhiyevo,69.2551,33.3362,7.67,80,100,6.66,RU,1728695166
52,jumla,29.2747,82.1838,7.02,35,100,2.93,NP,1728695169
53,punta arenas,-53.15,-70.9167,6.06,81,20,7.2,CL,1728695170
54,ilulissat,69.2167,-51.1,-3.99,58,0,0.0,GL,1728695171
55,vorgashor,67.5833,63.95,-5.98,72,100,6.01,RU,1728695172
56,happy valley-goose bay,53.3168,-60.3315,4.17,87,100,4.63,CA,1728695173
57,papao,-17.75,-149.55,28.82,84,37,4.55,PF,1728695176
58,porto novo,6.4965,2.6036,26.9,85,100,3.18,BJ,1728695177
59,rio grande,-32.035,-52.0986,16.55,93,31,4.16,BR,1728695071
60,lazaro cardenas,17.9583,-102.2,26.77,85,3,2.83,MX,1728695179
61,trinidad,-14.8333,-64.9,25.49,65,72,2.04,BO,1728695181
62,nar'yan-mar,67.6713,53.087,0.11,68,100,11.34,RU,1728695182
63,inongo,-1.95,18.2667,21.18,94,100,1.2,CD,1728695183
64,trancas,-26.2314,-65.2803,19.42,58,0,1.2,AR,1728695185
65,kapuskasing,49.4169,-82.4331,6.05,93,20,4.63,CA,1728695008
66,bredasdorp,-34.5322,20.0403,12.37,92,5,0.95,ZA,1728695188
67,nuuk,64.1835,-51.7216,-1.66,100,18,6.17,GL,1728695189
68,georgetown,5.4112,100.3354,27.96,87,20,1.54,MY,1728694930
69,valparaiso,-33.0393,-71.6273,15.8,77,40,2.06,CL,1728694911
70,aswan,24.0934,32.907,26.61,24,0,2.06,EG,1728695193
71,ushuaia,-54.8,-68.3,5.81,75,40,6.17,AR,1728694932
72,tura,25.5198,90.2201,23.48,94,12,1.66,IN,1728695196
73,puerto natales,-51.7236,-72.4875,4.23,96,97,3.32,CL,1728695197
74,priozersk,61.0393,30.1291,9.49,88,100,4.88,RU,1728695198
75,colonia,50.9333,6.95,6.65,88,0,2.57,DE,1728695122
76,vadso,70.0744,29.7487,4.09,93,100,6.69,NO,1728694928
77,trondheim,63.4305,10.3951,1.03,89,21,0.89,NO,1728695202
78,longyearbyen,78.2186,15.6401,2.91,81,75,9.77,SJ,1728694993
79,murray bridge,-35.1167,139.2667,19.73,29,100,3.89,AU,1728695204
80,whitehorse,60.7161,-135.0538,5.17,48,100,5.36,CA,1728695205
81,bodaybo,57.8506,114.1933,-2.75,78,65,0.75,RU,1728695206
82,fale old settlement,-9.3852,-171.2468,27.81,78,77,6.59,TK,1728695208
83,bereznik,62.8551,42.7072,3.2,75,100,6.37,RU,1728695209
84,hermanus,-34.4187,19.2345,10.45,86,4,1.93,ZA,1728695210
85,bilibino,68.0546,166.4372,-10.39,82,90,0.89,RU,1728695211
86,kachug,53.9606,105.8817,-2.13,58,99,1.34,RU,1728695212
87,hamilton,39.1834,-84.5333,17.69,66,0,0.45,US,1728695063
88,east wenatchee bench,47.4257,-120.2812,17.2,39,100,2.06,US,1728695215
89,newman,37.3138,-121.0208,27.8,37,68,1.34,US,1728695216
90,xilin hot,43.9667,116.0333,10.74,53,0,1.97,CN,1728695118
91,castillos,-34.1667,-53.8333,12.78,93,0,1.94,UY,1728695220
92,arraial do cabo,-22.9661,-42.0278,22.74,94,100,12.06,BR,1728695221
93,campbell river,50.0163,-125.2446,11.92,66,76,0.42,CA,1728695222
94,port mathurin,-19.6833,63.4167,21.82,68,100,10.46,MU,1728695223
95,sastre,-31.7676,-61.8289,20.97,51,99,2.32,AR,1728695224
96,crane,31.3974,-102.3501,27.13,20,0,5.66,US,1728695226
97,la'ie,21.6477,-157.9253,31.66,69,96,4.87,US,1728695227
98,rabo de peixe,37.8,-25.5833,18.73,99,20,3.09,PT,1728695228
99,trnovska vas,46.5196,15.887,11.14,84,100,1.03,SI,1728695229
100,haiku-pauwela,20.9219,-156.3051,28.47,73,61,11.18,US,1728695230
101,ribeira grande,38.5167,-28.7,17.1,73,100,3.13,PT,1728695232
102,ulsan,35.5372,129.3167,21.2,62,0,0.85,KR,1728695233
103,aioun,16.6614,-9.6149,31.59,41,44,5.65,MR,1728695235
104,westport,41.1415,-73.3579,16.0,57,0,3.6,US,1728695236
105,bardai,11.65,7.2333,24.01,71,100,2.46,NG,1728695237
106,zhezqazghan,47.7833,67.7667,4.32,87,100,6.0,KZ,1728695239
107,sisimiut,66.9395,-53.6735,2.27,44,0,3.97,GL,1728695240
108,howard springs,-12.497,131.047,32.77,69,81,3.2,AU,1728695241
109,avarua,-21.2078,-159.775,26.03,69,40,7.2,CK,1728695242
110,pacasmayo,-7.4006,-79.5714,17.98,85,27,4.68,PE,1728695243
111,sunne,59.8376,13.143,3.47,96,19,1.85,SE,1728695244
112,alice springs,-23.7,133.8833,28.75,17,100,7.2,AU,1728695246
113,atafu village,-8.5421,-172.5159,28.59,72,21,6.7,TK,1728695247
114,khuzdar,27.7384,66.6434,19.31,30,0,0.59,PK,1728695248
115,palikir - national government center,6.9248,158.1611,30.47,74,75,4.12,FM,1728695249
116,west island,-12.1568,96.8225,27.99,83,75,5.14,CC,1728695250
117,opuwo,-18.0607,13.84,22.88,18,0,3.15,NA,1728695251
118,francistown,-21.17,27.5079,19.25,29,0,3.06,BW,1728695252
119,chonchi,-42.6128,-73.8092,7.84,94,100,2.22,CL,1728695254
120,conduaga,8.862,117.4893,30.75,61,3,0.47,PH,1728695256
121,kone,-21.0595,164.8658,24.52,57,98,2.78,NC,1728695257
122,anadyr,64.75,177.4833,-6.72,85,20,3.0,RU,1728695259
123,amursk,50.2261,136.8994,8.34,78,100,4.31,RU,1728695260
124,cambria,35.5641,-121.0808,14.47,90,79,1.34,US,1728695261
125,lompoc,34.6391,-120.4579,19.4,83,0,3.6,US,1728695262
126,nemuro,43.3236,145.575,11.83,61,0,3.33,JP,1728695263
127,babolsar,36.7025,52.6576,20.28,77,63,1.48,IR,1728695264
128,teguise,29.0605,-13.564,21.12,83,0,3.09,ES,1728695266
129,apolinario saravia,-24.4328,-63.9954,19.95,64,0,2.49,AR,1728695267
130,leava,-14.3,-178.1667,27.24,80,87,3.25,WF,1728695268
131,wuwei,37.9281,102.6414,15.13,42,89,0.75,CN,1728695269
132,tralee,52.2704,-9.7026,5.87,75,100,1.81,IE,1728695270
133,hawaiian paradise park,19.5933,-154.9731,27.73,73,20,4.63,US,1728695271
134,vilyuchinsk,52.9306,158.4028,8.15,95,100,12.78,RU,1728695272
135,thompson,55.7435,-97.8558,5.49,66,100,0.59,CA,1728695274
136,bikenibeu village,1.3673,173.1241,31.98,62,20,5.66,KI,1728695275
137,dabhol,17.6,73.1667,24.81,89,8,1.78,IN,1728695276
138,paita,-5.0892,-81.1144,17.83,87,12,6.16,PE,1728695277
139,laguna,38.421,-121.4238,27.1,29,0,4.63,US,1728695278
140,katsuura,35.1333,140.3,22.38,69,3,5.25,JP,1728695279
141,visby,57.6409,18.296,9.34,81,88,6.69,SE,1728695043
142,novofedorivka,46.1713,32.3178,20.34,86,100,4.9,UA,1728695282
143,qaqortoq,60.7167,-46.0333,3.46,56,100,1.94,GL,1728695283
144,pucon,-39.2822,-71.9543,5.44,81,1,0.46,CL,1728695284
145,ust'-ilimsk,58.0006,102.6619,-5.82,79,65,0.78,RU,1728695285
146,pasighat,28.0667,95.3333,21.67,94,100,1.23,IN,1728695286
147,yuzhno-kurilsk,44.0306,145.8556,12.95,59,0,6.2,RU,1728695287
148,beau vallon,-20.4189,57.6953,20.91,68,75,7.38,MU,1728695289
149,vanimo,-2.6741,141.3028,31.2,61,1,3.51,PG,1728695290
150,zaozersk,69.4005,32.4476,6.68,86,100,4.9,RU,1728695293
151,puerto armuelles,8.2833,-82.8667,25.61,87,100,3.13,PA,1728695295
152,lihue,21.9789,-159.3672,28.77,70,75,4.63,US,1728695297
153,tan-tan,28.438,-11.1032,20.89,91,0,1.81,MA,1728695298
154,cabo san lucas,22.8909,-109.9124,30.17,65,0,5.14,MX,1728695078
155,statesville,35.7826,-80.8873,12.68,88,0,0.0,US,1728695227
156,matoury,4.8483,-52.3317,27.98,83,0,2.06,GF,1728695302
157,keflavik,64.0049,-22.5624,-0.76,69,0,2.06,IS,1728695303
158,vilyuysk,63.7553,121.6247,-6.38,90,77,2.13,RU,1728695304
159,harstad,68.799,16.5293,3.42,93,36,14.75,NO,1728695305
160,tynda,55.1667,124.7167,-0.55,58,99,4.89,RU,1728695028
161,lata,40.1629,-8.3327,19.72,47,100,2.21,PT,1728695307
162,aizkraukle,56.6048,25.2553,6.43,85,6,2.52,LV,1728695308
163,dampit,-8.2116,112.7493,29.56,56,98,0.89,ID,1728695255
164,nueva loja,0.0847,-76.8828,24.15,81,100,0.95,EC,1728695311
165,avellaneda,-29.1176,-59.6583,19.3,54,0,3.01,AR,1728695101
166,al jumum,21.6169,39.6981,28.93,57,37,1.91,SA,1728695313
167,lusambo,-4.9667,23.45,20.95,88,99,0.87,CD,1728695314
168,brisas barra de suchiate,14.55,-92.2167,26.88,78,100,1.57,MX,1728695316
169,tidjikja,18.5564,-11.4271,31.38,38,57,4.96,MR,1728695317
170,belle fourche,44.6714,-103.8522,17.83,36,33,1.6,US,1728695319
171,ryazan',55.6744,36.6697,10.54,81,100,4.25,RU,1728695321
172,sotkamo,64.1333,28.4167,6.04,93,100,3.24,FI,1728695322
173,enewetak,11.3474,162.3373,28.64,76,66,4.66,MH,1728695323
174,kabompo,-13.5927,24.2008,15.3,34,0,2.41,ZM,1728695324
175,'ain el melh,34.8415,4.1638,19.98,51,5,2.25,DZ,1728695326
176,port hedland,-20.3167,118.5667,30.03,51,48,2.06,AU,1728695329
177,tiksi,71.6872,128.8694,-10.01,93,65,2.91,RU,1728695330
178,mata de sao joao,-12.5303,-38.2992,20.73,94,84,1.28,BR,1728695069
179,taman',45.2117,36.7161,19.8,72,100,2.01,RU,1728695335
180,pitimbu,-7.4706,-34.8086,24.49,72,100,5.51,BR,1728695336
181,weno,7.4515,151.8468,28.97,89,100,3.09,FM,1728695338
182,pangkalanbuun,-2.6833,111.6167,29.11,73,100,1.46,ID,1728695339
183,port lincoln,-34.7333,135.8667,15.16,66,100,6.72,AU,1728695341
184,codrington,-38.2667,141.9667,15.76,51,40,3.47,AU,1728695342
185,naberera,-4.2,36.9333,14.94,91,30,4.2,TZ,1728695343
186,tofol,5.3248,163.0078,30.88,70,75,4.12,FM,1728695344
187,guateque,5.0062,-73.4727,12.5,98,83,1.12,CO,1728695345
188,barra,-11.0894,-43.1417,26.41,55,9,2.74,BR,1728695346
189,prince rupert,54.3161,-130.3201,12.04,68,100,1.53,CA,1728695348
190,polyarnyy,69.1989,33.4478,7.58,80,100,6.51,RU,1728695349
191,lospalos,-8.5186,127.0025,27.9,62,99,4.5,TL,1728695350
192,sidney,-33.8679,151.2073,16.86,64,100,10.8,AU,1728695351
193,jasper,37.2001,-94.3502,24.03,48,0,3.6,US,1728695259
194,dadukou,26.5479,101.7054,21.77,82,91,1.08,CN,1728695355
195,susuman,62.7833,148.1667,-4.02,92,100,0.51,RU,1728695356
196,boyalik,41.2634,28.6314,20.67,70,72,1.42,TR,1728695357
197,kaa-khem,51.6833,94.7333,7.74,66,100,1.53,RU,1728695358
198,roslavl',53.9528,32.8639,13.87,86,100,3.43,RU,1728695359
199,fada n'gourma,12.0622,0.3578,27.02,68,92,2.81,BF,1728695361
200,acajutla,13.5928,-89.8275,26.86,77,100,3.85,SV,1728695232
201,minas de marcona,-15.2119,-75.1103,12.95,77,9,4.35,PE,1728695363
202,meulaboh,4.1363,96.1285,24.13,96,100,2.28,ID,1728695364
203,jalingo,8.8833,11.3667,24.82,81,86,1.35,NG,1728695365
204,horta,38.5333,-28.6333,16.68,72,100,1.79,PT,1728695366
205,torghay,49.6339,63.4981,0.9,92,100,6.24,KZ,1728695368
206,port douglas,-16.4833,145.4667,25.92,69,95,5.67,AU,1728695369
207,pacific grove,36.6177,-121.9166,18.53,81,0,2.57,US,1728695370
208,utrik,11.2278,169.8474,28.32,76,96,8.22,MH,1728695371
209,tual,-5.6667,132.75,27.69,81,33,6.65,ID,1728695372
210,pandan,14.0453,124.1694,29.4,72,90,2.91,PH,1728695373
211,sao gabriel da cachoeira,-0.1303,-67.0892,25.3,81,95,1.4,BR,1728695375
212,ta`u,-14.2336,-169.5144,27.04,79,27,8.25,AS,1728695376
213,tarija,-21.5355,-64.7296,17.95,45,0,3.6,BO,1728695296
214,ancud,-41.8697,-73.8203,8.55,88,100,5.03,CL,1728695378
215,saint-philippe,-21.3585,55.7679,20.22,78,64,6.3,RE,1728695379
216,corner brook,48.9667,-57.9484,7.72,88,100,5.99,CA,1728695249
217,badger,64.8,-147.5333,7.95,51,0,5.66,US,1728695382
218,bowen,-20.0167,148.2333,25.75,64,10,7.93,AU,1728695383
219,afaahiti,-17.75,-149.2833,23.35,81,61,3.31,PF,1728695384
220,kegeyli shahar,42.7767,59.6078,10.75,57,50,2.81,UZ,1728695385
221,daru,-9.0763,143.2092,26.92,82,89,8.08,PG,1728695387
222,vila velha,-20.3297,-40.2925,23.97,98,75,5.14,BR,1728695187
223,port elizabeth,-33.918,25.5701,14.62,96,87,1.79,ZA,1728695389
224,brisas de zicatela,15.8369,-97.0419,25.5,80,100,1.19,MX,1728695390
225,pilar,-9.5972,-35.9567,21.96,87,40,2.08,BR,1728695115
226,khovd,48.0056,91.6419,8.55,40,8,4.02,MN,1728695392
227,pemangkat,1.1667,108.9667,26.83,81,83,2.28,ID,1728695394
228,carnarvon,-24.8667,113.6333,22.01,73,0,5.73,AU,1728695395
229,arantangi,10.1667,78.9833,26.5,83,100,0.64,IN,1728695168
230,cabedelo,-6.9811,-34.8339,25.37,75,100,6.02,BR,1728695397
231,port alfred,-33.5906,26.891,16.63,88,100,3.98,ZA,1728695398
232,fort bragg,35.139,-79.006,14.95,85,0,0.0,US,1728695399
233,maua,-23.6678,-46.4614,20.2,89,100,5.83,BR,1728695139
234,south venice,27.0531,-82.4243,25.55,82,41,6.35,US,1728695402
235,mangai,-4.05,19.5333,21.06,94,100,1.27,CD,1728695403
236,ankang,32.68,109.0172,16.29,95,100,0.99,CN,1728695404
237,klyuchi,52.2667,79.1667,-0.3,88,100,9.45,RU,1728695405
238,mana,5.6592,-53.7767,25.72,91,100,3.44,GF,1728695406
239,tukrah,32.5341,20.5791,25.81,61,0,2.27,LY,1728695408
240,mutuali,-14.8706,37.0044,21.02,68,36,1.29,MZ,1728695409
241,yorkton,51.2167,-102.4677,9.91,53,100,2.57,CA,1728695411
242,lincoln city,44.9582,-124.0179,16.83,83,88,0.45,US,1728695412
243,cova figueira,14.8905,-24.2934,21.2,81,82,7.15,CV,1728695413
244,walvis bay,-22.9575,14.5053,15.39,71,6,3.79,NA,1728695414
245,thunder bay,48.4001,-89.3168,9.5,55,1,2.29,CA,1728695267
246,puerto baquerizo moreno,-0.9,-89.6,19.97,79,88,5.0,EC,1728695416
247,xique xique,-10.8217,-42.7311,28.35,49,10,4.22,BR,1728695418
248,bozkurt,41.9577,34.0109,20.18,60,39,2.25,TR,1728695419
249,coquimbo,-29.9533,-71.3436,13.85,81,0,3.09,CL,1728694909
250,stanley,54.868,-1.6985,5.01,85,0,4.12,GB,1728695422
251,ha'il,27.5219,41.6907,19.01,24,0,2.06,SA,1728695423
252,surovikino,48.6078,42.8486,5.79,94,0,3.99,RU,1728695424
253,arno,60.1167,18.6333,5.59,88,86,5.35,SE,1728695425
254,tazovsky,67.4667,78.7,-3.22,87,100,3.63,RU,1728695427
255,toguchin,55.2353,84.3858,-3.18,57,100,8.86,RU,1728695151
256,mount pearl,47.5166,-52.7813,9.52,91,35,3.13,CA,1728695429
257,barra de santo antonio,-9.4047,-35.5072,23.88,78,11,4.67,BR,1728695430
258,ullal,12.8,74.85,24.53,94,75,2.06,IN,1728695431
259,east london,-33.0153,27.9116,16.64,83,100,2.69,ZA,1728695432
260,revda,56.801,59.9303,-5.55,90,100,4.02,RU,1728695434
261,manicore,-5.8092,-61.3003,30.66,34,100,0.7,BR,1728695435
262,nadi,-17.8,177.4167,30.0,66,40,6.69,FJ,1728695436
263,harper,4.375,-7.7169,24.57,88,99,2.69,LR,1728695437
264,gamba,-2.65,10.0,24.48,90,100,2.22,GA,1728695438
265,sawakin,19.1059,37.3321,28.36,79,0,0.83,SD,1728695439
266,kuanda,56.3161,116.0806,-2.85,58,0,0.75,RU,1728695440
267,sitka,57.0531,-135.33,11.94,58,100,7.72,US,1728695442
268,kourou,5.1552,-52.6478,26.56,86,100,3.26,GF,1728695443
269,nova sintra,14.8667,-24.7167,27.58,79,100,8.98,CV,1728695444
270,breves,-1.6822,-50.4803,24.15,91,100,2.36,BR,1728695445
271,aykhal,66.0,111.5,-12.14,96,100,2.05,RU,1728695446
272,baruun-urt,46.6806,113.2792,7.36,48,12,2.64,MN,1728695447
273,sandnessjoen,66.0217,12.6316,6.88,56,100,14.35,NO,1728695449
274,puerto yuca,2.9383,-73.2083,25.71,75,95,0.55,CO,1728695450
275,fristad,65.2,16.7167,-1.61,91,61,2.87,SE,1728695451
276,bengkulu,-3.8004,102.2655,26.47,80,100,1.08,ID,1728695452
277,port moresby,-9.4431,147.1797,28.25,72,52,6.15,PG,1728695454
278,lianzhou,24.7811,112.3825,24.54,58,6,0.45,CN,1728695455
279,tubarjal,30.4999,38.216,21.82,47,0,5.03,SA,1728695456
280,albino,45.7638,9.7964,13.34,83,40,2.06,IT,1728695457
281,fish town,5.1964,-7.8756,21.62,99,100,1.14,LR,1728695458
282,colonia menno,-22.3667,-59.8167,22.39,59,0,2.94,PY,1728695459
283,ola,59.5833,151.2833,2.51,70,100,2.71,RU,1728695461
284,nyurba,63.2842,118.3319,-7.59,91,90,1.46,RU,1728695462
