City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
285,pangoa,-12.1167,-73.0,20.83,98,83,1.18,PE,1728695463
286,kambove,-10.8764,26.5969,16.82,52,82,1.43,CD,1728695464
287,buri ram,14.9943,103.1039,25.47,80,33,3.6,TH,1728695466
288,jamestown,42.097,-79.2353,14.45,60,0,6.17,US,1728695467
289,san antonio de pale,-1.4014,5.6325,24.98,82,79,4.36,GQ,1728695468
290,upington,-28.4478,21.2561,25.41,14,9,3.73,ZA,1728695469
291,kabansk,52.0486,106.6528,3.69,57,97,2.52,RU,1728695470
292,sinjar,36.3209,41.8754,24.21,35,98,2.05,IQ,1728695472
293,si satchanalai,17.5169,99.7598,25.29,92,22,1.14,TH,1728695473
294,kununurra,-15.7667,128.7333,31.99,40,4,2.57,AU,1728695474
295,kolonia town,6.964,158.206,31.06,74,75,4.12,FM,1728695476
296,savonlinna,61.8699,28.88,10.03,87,75,3.09,FI,1728695478
297,allende,25.2833,-100.0167,21.91,59,0,1.56,MX,1728695479
298,jutai,-5.1833,-68.9,24.34,87,71,1.35,BR,1728695474
299,matonga,-2.3833,34.0833,20.78,53,12,2.27,TZ,1728695482
300,zhosaly,45.4878,64.0781,7.29,60,80,4.2,KZ,1728695483
301,saint-joseph,-21.3667,55.6167,20.21,76,43,6.31,RE,1728695484
302,kuusamo,65.9667,29.1833,3.02,100,100,1.03,FI,1728695485
303,siwa oasis,29.2041,25.5195,27.72,31,0,2.39,EG,1728695487
304,itamaraca,-7.7478,-34.8256,23.81,76,79,4.06,BR,1728695488
305,san bernardo del viento,9.3533,-75.9524,27.36,76,97,3.27,CO,1728695489
306,sanibel,26.449,-82.0223,24.45,85,90,7.05,US,1728695491
307,robit,12.0167,39.6333,18.0,58,0,1.74,ET,1728695493
308,baiao,-2.7906,-49.6717,25.27,85,82,2.22,BR,1728695494
309,kostanay,53.1667,63.5833,-2.84,93,100,8.0,KZ,1728695495
310,mount gambier,-37.8333,140.7667,16.34,44,95,1.82,AU,1728695246
311,pemba,-12.974,40.5178,24.39,94,20,1.91,MZ,1728695498
312,baoma,31.4859,106.1128,15.96,90,100,1.92,CN,1728695499
313,kingston,17.997,-76.7936,29.53,79,20,1.03,JM,1728694936
314,aasiaat,68.7098,-52.8699,-3.45,68,13,7.49,GL,1728695501
315,rudbar,30.15,62.6,21.61,19,0,0.3,AF,1728695502
316,mutsu,41.2894,141.2169,18.68,62,0,2.34,JP,1728695503
317,tolanaro,-25.0319,46.9987,21.08,81,88,7.5,MG,1728695505
318,santa ana de yacuma,-13.75,-65.4333,28.09,56,100,2.98,BO,1728695506
319,ust'-kut,56.7938,105.7672,-3.87,77,15,0.94,RU,1728695508
320,ulsteinvik,62.3432,5.8487,2.07,69,99,7.02,NO,1728695509
321,monroe,43.1501,-77.6831,18.31,51,40,8.75,US,1728695510
322,la ronge,55.1001,-105.2842,6.92,68,100,2.79,CA,1728695512
323,micheweni,-4.9667,39.8333,24.83,83,14,5.7,TZ,1728695514
324,laramie,41.3114,-105.5911,13.21,21,0,4.12,US,1728695515
325,la plata,-34.9215,-57.9545,18.42,59,6,5.46,AR,1728695364
326,tadine,-21.55,167.8833,23.24,53,62,6.05,NC,1728695517
327,kencong,-8.2833,113.3667,29.32,63,100,1.67,ID,1728695518
328,khanty-mansiysk,61.0042,69.0019,-1.94,64,40,3.0,RU,1728695520
329,watford city,47.8022,-103.2832,13.03,50,100,4.12,US,1728695521
330,vernon,50.2581,-119.2691,13.74,52,20,1.03,CA,1728694802
331,kokologo,12.1897,-1.8856,26.54,72,96,3.19,BF,1728695523
332,lorengau,-2.0226,147.2712,30.09,70,27,5.09,PG,1728695524
333,saudarkrokur,65.7461,-19.6394,-1.7,89,100,1.6,IS,1728695526
334,san luis de la loma,17.2706,-100.8939,25.88,85,100,1.24,MX,1728695527
335,dong ha,16.8163,107.1003,25.96,85,71,0.61,VN,1728695528
336,laoang,12.5,125.0167,30.16,69,100,1.63,PH,1728695530
337,kilis,36.7161,37.115,17.56,89,76,2.38,TR,1728695532
338,timbuktu,16.7735,-3.0074,33.56,24,85,4.5,ML,1728695533
339,torit,4.4133,32.5678,22.78,79,100,1.3,SS,1728695534
340,hafar al-batin,28.4328,45.9708,24.32,57,0,5.14,SA,1728695535
341,la passe,45.5549,-0.8967,14.9,67,100,6.92,FR,1728695536
342,acarau,-2.8856,-40.12,26.15,78,32,7.57,BR,1728695537
343,kapa'a,22.0752,-159.319,29.18,81,75,4.63,US,1728695538
344,caleta de carquin,-11.0925,-77.6267,17.98,81,2,4.14,PE,1728695540
345,dazhou,31.2159,107.5009,15.88,93,100,1.08,CN,1728695541
346,bethanie,-26.4833,17.15,24.86,15,0,0.53,NA,1728695542
347,san martin de los andes,-40.1604,-71.3486,-1.24,95,56,3.43,AR,1728695452
348,pariaman,-0.619,100.12,24.03,97,100,3.31,ID,1728695544
349,peace river,56.2501,-117.286,8.75,47,81,1.93,CA,1728695545
350,latimer,30.5346,-88.8667,22.7,53,0,0.19,US,1728695547
351,shimoda,34.6667,138.95,22.25,73,49,5.8,JP,1728695548
352,namibe,-15.1961,12.1522,19.78,87,3,1.54,AO,1728695549
353,boende,-0.2167,20.8667,20.83,98,100,1.36,CD,1728695550
354,pingyin,36.2831,116.4453,21.54,39,99,3.14,CN,1728695551
355,kalengwa,-13.4659,25.0027,16.8,32,0,4.34,ZM,1728695552
356,luganville,-15.5333,167.1667,26.65,71,100,5.36,VU,1728695554
357,bowie,33.4501,-94.4335,21.79,72,2,2.62,US,1728695106
358,yairipok,24.6667,94.0667,22.92,95,19,0.69,IN,1728695556
359,iskateley,67.6803,53.1512,0.12,67,100,11.36,RU,1728695559
360,port isabel,26.0734,-97.2086,25.6,73,0,2.57,US,1728695560
361,kota kinabalu,5.9749,116.0724,29.99,79,20,1.54,MY,1728695561
362,udachny,66.4167,112.4,-10.77,93,100,4.11,RU,1728695562
363,boa vista,2.8197,-60.6733,30.99,55,0,3.6,BR,1728695563
364,kavaratti,10.5669,72.642,25.89,89,100,5.05,IN,1728695564
365,banfora,10.6333,-4.7667,24.37,84,99,1.56,BF,1728695565
366,andergrove,-21.0833,149.1833,24.53,68,6,7.08,AU,1728695567
367,sakakah,29.9697,40.2064,20.76,22,0,1.36,SA,1728695568
368,santarem,-2.4431,-54.7083,30.07,62,0,2.06,BR,1728695569
369,enterprise,36.0252,-115.2419,32.61,13,75,7.72,US,1728695571
370,banda aceh,5.5577,95.3222,24.61,96,100,5.86,ID,1728695403
371,ketchikan,55.3422,-131.6461,13.26,62,0,2.57,US,1728695573
372,el porvenir,13.7617,-87.3458,22.4,91,100,2.42,HN,1728695574
373,labrador city,52.9463,-66.9114,1.77,87,100,4.02,CA,1728695474
374,al bawiti,28.3492,28.8659,24.08,41,0,2.07,EG,1728695576
375,dumai,1.6833,101.45,25.21,94,100,1.07,ID,1728695578
376,bakanas,44.8081,76.2772,13.09,64,51,6.34,KZ,1728695579
377,piton saint-leu,-21.2196,55.3151,19.06,60,75,4.63,RE,1728695580
378,bubaque,11.2833,-15.8333,26.15,84,100,4.53,GW,1728695581
379,fairmont,39.4851,-80.1426,11.77,82,3,1.92,US,1728695582
380,verkhniye sergi,56.6469,59.5556,-5.54,91,100,4.3,RU,1728695583
381,stephenville,32.2207,-98.2023,26.75,46,0,2.57,US,1728695584
382,wau,7.7029,27.9953,22.0,90,37,1.18,SS,1728695586
383,ingeniero jacobacci,-41.3427,-69.5448,5.86,50,1,7.86,AR,1728695587
384,katsuren-haebaru,26.3369,127.8719,29.21,64,0,4.63,JP,1728695588
385,chulym,55.0997,80.9572,-4.02,63,99,9.05,RU,1728695446
386,mwinilunga,-11.7358,24.4293,14.34,34,3,1.55,ZM,1728695590
387,egilsstadir,65.2653,-14.3948,-1.05,69,0,5.66,IS,1728695591
388,auki,-8.7676,160.7034,30.78,59,81,2.31,SB,1728695592
389,chernyshevskiy,63.0128,112.4714,-7.02,83,29,1.08,RU,1728695594
390,capitao poco,-1.7464,-47.0594,24.38,79,99,2.51,BR,1728695358
391,ambilobe,-13.2,49.05,21.14,74,5,2.09,MG,1728695596
392,bako,5.7833,36.5667,18.96,70,100,2.12,ET,1728695597
393,isangel,-19.55,169.2667,25.06,69,75,5.14,VU,1728695598
394,port-saint-louis-du-rhone,43.3833,4.8,11.13,82,0,2.06,FR,1728695599
395,meadow lake,34.8014,-106.5436,22.03,37,0,2.0,US,1728695601
396,jiayuguan,39.8167,98.3,14.28,22,0,1.05,CN,1728695429
397,knokke-heist,51.3333,3.3333,5.66,75,100,3.32,BE,1728695603
398,hithadhoo,-0.6,73.0833,28.4,71,14,5.01,MV,1728695604
399,yorosso,12.3536,-4.7761,23.82,83,100,1.99,ML,1728695605
400,selsey,50.735,-0.7898,13.88,72,100,1.79,GB,1728695607
401,alotau,-10.3069,150.4462,25.75,94,100,2.22,PG,1728695608
402,sao miguel do araguaia,-13.275,-50.1628,27.11,61,13,1.86,BR,1728695609
403,saipan,15.1355,145.701,31.39,74,40,6.17,MP,1728695610
404,new plymouth,-39.0667,174.0833,15.17,100,0,8.83,NZ,1728695611
405,priob'ye,62.5206,65.5964,-3.4,83,94,0.95,RU,1728695612
406,st. john's,47.5649,-52.7093,9.98,88,45,2.68,CA,1728695428
407,sovetskaya gavan',48.9723,140.2878,12.94,60,9,3.41,RU,1728695523
408,flin flon,54.7682,-101.865,7.72,59,100,1.99,CA,1728695616
409,dolores,-36.3132,-57.6792,11.99,62,1,5.24,AR,1728695618
410,whangarei,-35.7317,174.3239,17.02,46,0,5.14,NZ,1728695620
411,braslaw,55.644,27.0455,6.46,87,48,2.8,BY,1728695417
412,lagoa formosa,-18.7786,-46.4075,21.12,59,100,1.64,BR,1728695622
413,zeya,53.75,127.2667,1.75,70,100,3.96,RU,1728695623
414,hammerfest,70.6634,23.6821,5.25,70,40,2.57,NO,1728695624
415,sinjai,-5.1241,120.253,29.23,69,80,1.95,ID,1728695626
416,greater sudbury,46.49,-80.99,15.03,70,43,7.15,CA,1728695603
417,venev,54.3553,38.2684,8.54,84,32,5.57,RU,1728695628
418,portland,45.5234,-122.6762,19.87,56,75,2.24,US,1728695455
419,tromso,69.6496,18.957,5.01,56,40,9.77,NO,1728695630
420,xinyuan,37.3,99.0,3.01,53,0,3.08,CN,1728695631
421,ciudad lazaro cardenas,17.9583,-102.2,26.77,85,3,2.83,MX,1728695633
422,emerald,-23.5333,148.1667,27.41,44,13,4.1,AU,1728695634
423,milan,45.4643,9.1895,13.26,91,20,0.51,IT,1728695635
424,coihueco,-36.6167,-71.8333,8.73,96,12,1.49,CL,1728695636
425,gamay,12.3854,125.2979,29.46,72,100,2.07,PH,1728695637
426,villa dolores,-31.9459,-65.1896,22.52,54,36,2.08,AR,1728695473
427,okha,53.5739,142.9478,9.39,69,88,8.12,RU,1728695640
428,sao felix do xingu,-6.6447,-51.995,26.68,63,12,1.55,BR,1728695641
429,arkhangel'sk,64.5401,40.5433,5.06,87,100,6.0,RU,1728695642
430,paradip garh,20.3167,86.6167,26.54,83,100,2.39,IN,1728695643
431,nadym,65.5333,72.5167,-3.64,68,100,3.68,RU,1728695642
432,pasuquin,18.3328,120.6177,28.97,84,75,1.03,PH,1728695646
433,moscow,55.7522,37.6156,10.77,69,49,5.88,RU,1728694916
434,jinghong,21.991,100.7341,21.85,89,57,0.28,CN,1728695648
435,college,64.8569,-147.8028,7.99,46,40,5.66,US,1728695649
436,nanao,37.05,136.9667,21.3,73,0,0.75,JP,1728695351
437,sinop,41.7711,34.8709,16.24,69,77,4.04,TR,1728695652
438,gevrai,19.2667,75.75,23.21,90,5,2.88,IN,1728695653
439,kill devil hills,36.0307,-75.676,14.01,74,0,0.0,US,1728695654
440,weining,26.85,104.2333,11.24,99,100,1.1,CN,1728695655
441,asingan,16.0051,120.6695,28.21,75,12,2.06,PH,1728695656
442,svetlyy,54.675,20.1347,11.1,69,12,4.13,RU,1728695658
443,weare,43.0948,-71.7306,12.47,76,21,0.45,US,1728695659
444,suining,30.508,105.5733,16.72,89,100,1.84,CN,1728695660
445,san fernando,15.0286,120.6898,28.85,75,6,1.26,PH,1728695661
446,rikaze,29.25,88.8833,8.18,33,1,1.16,CN,1728695663
447,mejit,10.2753,170.8646,26.91,81,48,7.37,MH,1728695664
448,saint-francois,46.4154,3.9054,5.93,100,100,1.54,FR,1728695665
449,bridgewater,44.3835,-64.5155,10.82,80,9,4.63,CA,1728695666
450,at taj,24.2049,23.2857,24.04,29,0,3.19,LY,1728695668
451,juan griego,11.0817,-63.9655,29.07,79,29,6.17,VE,1728695669
452,libenge,3.65,18.6333,21.2,98,96,0.53,CD,1728695670
453,magadan,59.5667,150.8,2.56,74,100,2.55,RU,1728695671
454,santa elena de uairen,4.6167,-61.1333,20.95,80,100,1.53,VE,1728695672
455,kailua-kona,19.6406,-155.9956,27.98,85,40,5.66,US,1728695541
456,mogadishu,2.0371,45.3438,25.43,86,81,6.13,SO,1728695675
457,kamaishi,39.2667,141.8833,18.41,61,0,1.51,JP,1728695676
458,limon,10.0,-83.0333,26.59,81,100,0.61,CR,1728695677
459,uturoa,-16.7333,-151.4333,25.48,74,23,5.03,PF,1728695678
460,road town,18.4167,-64.6167,28.02,74,20,1.03,VG,1728695030
461,mossel bay,-34.1831,22.146,15.37,88,79,3.08,ZA,1728695681
462,dudinka,69.4058,86.1778,-6.81,97,100,1.61,RU,1728695682
463,fort st. john,56.2499,-120.8529,7.19,50,6,2.2,CA,1728695597
464,itoman,26.1247,127.6694,29.49,61,20,5.66,JP,1728695595
465,ciudad constitucion,25.0369,-111.6644,27.18,51,0,6.53,MX,1728695687
466,igarka,67.4667,86.5833,-8.93,95,100,2.39,RU,1728695688
467,la sarre,48.8002,-79.1996,6.29,93,100,8.03,CA,1728695689
468,nishon tumani,38.694,65.6751,15.14,58,0,2.06,UZ,1728695690
469,kilju,40.9642,129.3278,20.96,37,0,0.85,KP,1728695691
470,edmundston,47.3737,-68.3251,10.42,71,0,4.63,CA,1728695693
471,malabar,-33.9667,151.25,17.42,64,75,11.83,AU,1728695694
472,whitecourt,54.1502,-115.6855,9.58,37,40,0.0,CA,1728695695
473,island harbour,50.724,-1.2758,13.88,68,100,4.47,GB,1728695696
474,jianguang,28.1938,115.7836,21.81,55,60,2.82,CN,1728695697
475,aiquile,-18.2041,-65.1807,15.71,75,0,1.79,BO,1728695473
476,youssoufia,32.2463,-8.5294,20.99,87,7,2.33,MA,1728695699
477,beihai,21.4833,109.1,26.63,75,59,4.55,CN,1728695701
478,mwene-ditu,-7.0,23.45,17.88,89,65,0.66,CD,1728695703
479,lagos,6.5833,3.75,25.06,89,100,2.43,NG,1728695489
480,carlisle,40.2015,-77.1889,14.55,69,5,3.13,US,1728695706
481,geraldton,-28.7667,114.6,22.23,64,100,5.14,AU,1728695708
482,kljuc,44.535,16.7722,10.78,91,94,1.41,BA,1728695709
483,ceeldheer,3.8488,47.1806,24.94,87,97,6.06,SO,1728695711
484,chui,-33.6971,-53.4616,13.65,91,0,2.13,UY,1728695712
485,sakaiminato,35.55,133.2333,19.99,73,20,1.54,JP,1728695713
486,aban,56.67,96.06,-5.48,62,100,3.09,RU,1728695715
487,jiwani,25.05,61.7417,28.05,73,5,2.65,PK,1728695716
488,laascaanood,8.4774,47.3597,24.28,51,17,5.59,SO,1728695717
489,bugene,-1.5911,31.1403,16.24,84,100,1.39,TZ,1728695718
490,azrou,33.4344,-5.2213,18.71,61,100,2.56,MA,1728695719
491,miri,4.4148,114.0089,28.08,89,40,0.0,MY,1728695721
492,alaghsas,17.0187,8.0168,30.67,14,91,3.75,NE,1728695722
493,kruisfontein,-34.0033,24.7314,12.69,83,99,2.08,ZA,1728695723
494,zhuanghe,39.7008,122.9911,17.46,67,0,2.04,CN,1728695724
495,lillehammer,61.1146,10.4674,-0.38,82,5,0.83,NO,1728695725
496,carutapera,-1.195,-46.02,26.17,79,19,3.84,BR,1728695727
497,qusmuryn,52.4503,64.6311,-1.1,89,100,9.48,KZ,1728695729
498,richards bay,-28.783,32.0377,19.69,89,9,2.19,ZA,1728695541
499,dandeli,15.2667,74.6167,20.6,98,68,1.03,IN,1728695731
500,oltinko'l,40.8011,72.1634,19.9,41,100,1.71,UZ,1728695732
501,val-d'or,48.1002,-77.7828,12.05,94,100,3.6,CA,1728695696
502,minot,48.2325,-101.2963,13.12,50,100,2.06,US,1728695566
503,abu dhabi,24.4667,54.3667,31.64,67,0,3.09,AE,1728695535
504,mukalla,14.5425,49.1242,25.19,79,1,2.67,YE,1728695737
505,durant,33.994,-96.3708,26.13,36,0,2.06,US,1728695287
506,kota bharu,6.1333,102.2386,27.97,83,20,1.54,MY,1728695740
507,yeniseysk,58.4497,92.1703,-5.77,77,14,1.68,RU,1728695741
508,kozle,50.3356,18.1433,6.91,88,8,2.39,PL,1728695742
509,san benito abad,8.929,-75.0271,25.99,82,9,1.94,CO,1728695744
510,rongelap,11.1635,166.8941,28.24,79,99,7.72,MH,1728695745
511,sorochinsk,52.4338,53.1583,-0.72,66,9,3.54,RU,1728695746
512,okhotsk,59.3833,143.3,4.76,86,100,9.85,RU,1728695493
513,jakiri,6.1,10.65,15.97,94,100,0.91,CM,1728695748
514,pisco,-13.7,-76.2167,17.03,88,20,2.06,PE,1728695750
515,bojnurd,37.4747,57.329,11.97,54,45,0.0,IR,1728695751
516,pointe-noire,-4.7761,11.8635,25.51,86,100,2.9,CG,1728695752
517,benque viejo el carmen,17.075,-89.1392,27.01,89,75,0.0,BZ,1728695753
518,prieska,-29.6641,22.7474,22.55,17,91,0.83,ZA,1728695754
519,cidreira,-30.1811,-50.2056,19.44,94,100,3.44,BR,1728695474
520,abu jibeha,11.4562,31.2285,22.99,84,80,1.47,SD,1728695757
521,hauterive,46.0901,3.4459,8.26,89,100,1.35,FR,1728695758
522,al qubbah,32.7616,22.2424,24.63,31,0,2.96,LY,1728695759
523,villa berthet,-27.2917,-60.4126,19.37,60,0,1.71,AR,1728695760
524,bishkul,54.7803,69.1033,-3.63,85,100,7.78,KZ,1728695761
525,bibir hat,22.6873,91.7853,24.88,93,10,1.05,BD,1728695762
526,mora,11.0461,14.1401,26.92,60,98,2.31,CM,1728695764
527,kendraparha,20.5,86.4167,25.68,85,89,1.89,IN,1728695752
528,nizhniy ingash,56.2,96.53,-4.8,60,100,3.32,RU,1728695766
529,las vegas,36.175,-115.1372,33.69,9,0,7.2,US,1728695530
530,buala,-8.145,159.5921,29.85,66,84,1.86,SB,1728695768
531,surakarta,-7.5561,110.8317,30.26,59,53,2.82,ID,1728695769
532,muynoq,43.7683,59.0214,11.59,58,50,2.98,UZ,1728695770
533,camana,-16.6228,-72.7111,16.9,85,0,3.46,PE,1728695772
534,grigoropolisskaya,45.2972,41.0567,13.2,81,0,2.8,RU,1728695773
535,al ghayzah,16.2079,52.176,23.88,79,1,2.49,YE,1728695774
536,livingstonia,-10.606,34.1063,17.55,73,46,1.33,MW,1728695775
537,queenstown,-31.8976,26.8753,14.94,69,100,0.48,ZA,1728695776
538,ugoofaaru,5.6667,73.0,25.7,86,100,7.47,MV,1728695777
539,yanchep,-31.55,115.6833,18.76,73,81,5.11,AU,1728695779
540,datong,40.0936,113.2914,14.85,35,0,1.56,CN,1728695780
541,leticia,-4.2153,-69.9406,26.03,94,20,1.03,CO,1728695629
542,santa ana,33.7456,-117.8678,27.17,56,75,3.09,US,1728695677
543,novodolinskiy,49.705,72.7047,8.79,87,100,2.75,KZ,1728695785
544,touros,-5.1989,-35.4608,24.66,78,100,6.53,BR,1728695786
545,tazacorte,28.629,-17.9293,22.54,81,0,2.57,ES,1728695787
546,xiongzhou,25.1167,114.3,24.27,56,5,1.15,CN,1728695788
547,bukama,-9.2,25.85,21.18,81,100,0.81,CD,1728695790
548,lethem,3.3803,-59.7968,28.86,58,100,4.07,GY,1728695791
549,tsiombe,-25.3,45.4833,20.35,72,0,2.82,MG,1728695540
550,duba,27.3513,35.6901,27.28,66,0,3.04,SA,1728695793
551,antofagasta,-23.65,-70.4,15.6,85,47,1.9,CL,1728695795
552,cooper's town,26.8667,-77.5167,26.72,66,100,7.47,BS,1728695796
553,foindu,7.4108,-11.5422,22.56,99,100,1.52,SL,1728695797
554,mount isa,-20.7333,139.5,33.87,38,1,7.2,AU,1728695798
555,itu,-23.2642,-47.2992,22.34,96,99,3.45,BR,1728695618
556,quellon,-43.1167,-73.6167,7.89,90,100,4.64,CL,1728695801
557,savino,56.5929,41.2181,2.97,75,33,4.87,RU,1728695802
558,sola,-13.8833,167.55,26.1,77,82,8.21,VU,1728695803
559,dauphin,51.1494,-100.0502,8.08,66,100,2.57,CA,1728695804
560,afif,23.9065,42.9172,24.01,30,13,2.55,SA,1728695806
561,gorontalo,0.5412,123.0595,31.29,61,59,1.02,ID,1728695807
562,bandarbeyla,9.4942,50.8122,25.86,81,0,2.95,SO,1728695808
563,nizhneangarsk,55.7833,109.55,-3.14,78,68,2.14,RU,1728695809
564,westhill,57.1526,-2.2797,8.53,84,100,4.63,GB,1728695810
565,tamasi,46.6333,18.2833,10.72,86,10,4.55,HU,1728695811
566,lalmonirhat,25.9124,89.4473,24.79,83,28,0.82,BD,1728695812
567,gurun,5.8172,100.4738,23.89,84,100,1.23,MY,1728695814
568,sulak,43.2734,47.5146,17.94,73,100,5.11,RU,1728695815
569,fortuna,40.5982,-124.1573,17.51,61,0,0.0,US,1728695717
570,adiake,5.2863,-3.304,24.29,92,100,2.43,CI,1728695817
571,floro,61.5996,5.0328,5.98,65,100,6.17,NO,1728695818
572,cadale,2.7603,46.3222,25.37,87,22,6.72,SO,1728695820
